t_ms,ax_mps2,ay_mps2,az_mps2
4356,0.4315,-0.5884,9.7674
4376,0.4315,-0.5884,9.7674
4396,0.4315,-0.5492,9.8067
4416,0.3923,-0.5884,9.7282
4436,0.3923,-0.5884,9.8067
4456,0.3530,-0.5884,9.7282
4476,0.3923,-0.5884,9.7674
4496,0.3923,-0.5492,9.7674
4516,0.4315,-0.5884,9.7674
4536,0.4315,-0.5884,9.7674
4556,0.4315,-0.5884,9.7674
4576,0.4315,-0.5884,9.7674
4596,0.4315,-0.5884,9.7674
4616,0.3530,-0.5884,9.7674
4636,0.3923,-0.5884,9.7282
4656,0.4315,-0.6276,9.7282
4676,0.4315,-0.5884,9.7674
4696,0.4315,-0.5884,9.7674
4716,0.3923,-0.5492,9.7282
4736,0.4315,-0.5884,9.7282
4756,0.4315,-0.5884,9.8067
4776,0.3923,-0.5884,9.8067
4796,0.4315,-0.6276,9.7674
4816,0.3923,-0.5884,9.8459
4836,0.4315,-0.5884,9.7282
4856,0.3923,-0.5884,9.7674
4876,0.3923,-0.5884,9.7282
4896,0.4315,-0.5884,9.7674
4916,0.4315,-0.5884,9.7282
4936,0.4315,-0.6276,9.8067
4956,0.3923,-0.5884,9.7674
4976,0.3923,-0.5884,9.7674
4996,0.4315,-0.6276,9.6890
5016,0.4315,-0.5884,9.7674
5036,0.3923,-0.5492,9.8067
5056,0.3923,-0.5884,9.7674
5076,0.3923,-0.5884,9.7674
5096,0.4315,-0.6276,9.7674
5116,0.4315,-0.5884,9.7674
5136,0.4315,-0.6276,9.7674
5156,0.4315,-0.5884,9.7674
5176,0.3923,-0.5884,9.8067
5196,0.3923,-0.5884,9.7674
5216,0.3923,-0.5884,9.7674
5236,0.3923,-0.5884,9.7674
5256,0.4315,-0.5884,9.7674
5276,0.3923,-0.6276,9.7674
5296,0.3530,-0.5884,9.7674
5316,0.3923,-0.6276,9.7282
5336,0.3923,-0.5884,9.7674
5356,0.3923,-0.5492,9.7674
5376,0.4315,-0.5884,9.7674
5396,0.4315,-0.6276,9.7282
5416,0.4315,-0.5492,9.7282
5436,0.3923,-0.5884,9.7282
5456,0.3923,-0.5884,9.7282
5476,0.4315,-0.5884,9.7282
5496,0.3923,-0.5884,9.6890
5516,0.3923,-0.5884,9.7674
5536,0.3923,-0.5884,9.8067
5556,0.4315,-0.5492,9.8067
5576,0.4707,-0.5884,9.7282
5596,0.3923,-0.5884,9.7282
5616,0.3923,-0.5492,9.7674
5636,0.3923,-0.5884,9.7674
5656,0.4315,-0.6276,9.7674
5676,0.3923,-0.5492,9.7674
5696,0.4315,-0.6276,9.8067
5716,0.4315,-0.5884,9.8067
5736,0.4315,-0.5884,9.7282
5756,0.4315,-0.5492,9.7674
5776,0.4315,-0.5884,9.7282
5796,0.3923,-0.5884,9.7674
5816,0.3923,-0.5884,9.7282
5836,0.4315,-0.5884,9.7674
5856,0.4315,-0.6276,9.7674
5876,0.4315,-0.6276,9.7674
5896,0.3923,-0.6276,9.7282
5916,0.4315,-0.6276,9.7282
5936,0.4315,-0.5884,9.7282
5956,0.4315,-0.6276,9.7674
5976,0.4315,-0.5884,9.8067
5996,0.4315,-0.6276,9.7674
6016,0.4315,-0.6669,9.7674
6036,0.3923,-0.5492,9.7674
6056,0.3923,-0.6276,9.7674
6076,0.4315,-0.5884,9.7674
6096,0.4707,-0.5884,9.7674
6116,0.4315,-0.5492,9.7282
6136,0.4315,-0.6276,9.8067
6156,0.4315,-0.5884,9.7674
6176,0.3923,-0.6276,9.7674
6196,0.3923,-0.6276,9.7674
6216,0.4707,-0.5492,9.7674
6236,0.3923,-0.5492,9.7282
6256,0.4315,-0.5884,9.7282
6276,0.3923,-0.5884,9.8067
6296,0.3530,-0.5492,9.8067
6316,0.4315,-0.6276,9.7674
6336,0.4315,-0.5884,9.7674
6356,0.3923,-0.6276,9.7674
6376,0.4315,-0.6276,9.8067
6396,0.4315,-0.5884,9.8067
6416,0.4315,-0.5884,9.7674
6436,0.4315,-0.5884,9.7674
6456,0.3923,-0.5492,9.7674
6476,0.4315,-0.6276,9.7674
6496,0.3923,-0.6276,9.7674
6516,0.3923,-0.5884,9.8067
6536,0.3923,-0.5884,9.7674
6556,0.3923,-0.5492,9.7674
6576,0.4707,-0.5884,9.8067
6596,0.4315,-0.6276,9.8067
6616,0.3923,-0.5884,9.7674
6636,0.4315,-0.6276,9.7674
6656,0.3530,-0.5884,9.7674
6676,0.4315,-0.6669,9.7674
6696,0.3923,-0.5492,9.7674
6716,0.3923,-0.5884,9.7674
6736,0.3923,-0.5492,9.7282
6756,0.4315,-0.6276,9.7674
6776,0.3923,-0.5492,9.7674
6796,0.3923,-0.5884,9.7674
6816,0.4315,-0.5884,9.8067
6836,0.4315,-0.6276,9.7674
6856,0.3923,-0.5492,9.7674
6876,0.3923,-0.6276,9.7674
6896,0.3923,-0.5884,9.8067
6916,0.3923,-0.5884,9.7674
6936,0.4315,-0.5884,9.7674
6956,0.4315,-0.6276,9.7674
6976,0.4315,-0.5492,9.8067
6996,0.3923,-0.5884,9.7674
7016,0.4315,-0.5884,9.7674
7036,0.3923,-0.5884,9.8067
7056,0.4315,-0.6276,9.7282
7076,0.3923,-0.5884,9.8067
7096,0.4315,-0.5884,9.7674
7116,0.3923,-0.5884,9.7674
7136,0.3530,-0.5884,9.7282
7156,0.4315,-0.5492,9.7674
7176,0.4315,-0.6276,9.8067
7196,0.4315,-0.6276,9.7282
7216,0.4315,-0.6276,9.8067
7236,0.3923,-0.5884,9.7282
7256,0.4707,-0.6276,9.7674
7276,0.4315,-0.5492,9.7674
7296,0.4315,-0.5884,9.7282
7316,0.3923,-0.5884,9.7674
7336,0.4315,-0.6276,9.7674
7356,0.3923,-0.5492,9.7674
7376,0.3923,-0.6276,9.7674
7396,0.4315,-0.5884,9.7282
7416,0.4315,-0.5884,9.7674
7436,0.4315,-0.5492,9.6890
7456,0.3923,-0.5884,9.7282
7476,0.3923,-0.5884,9.7282
7496,0.4315,-0.6276,9.7282
7516,0.3530,-0.5884,9.8067
7536,0.4315,-0.5884,9.7282
7556,0.3923,-0.5884,9.7674
7576,0.3923,-0.5492,9.7674
7596,0.4315,-0.6276,9.7674
7616,0.4315,-0.5884,9.7674
7636,0.4315,-0.5884,9.7674
7656,0.4315,-0.6276,9.8067
7676,0.4315,-0.5884,9.7674
7696,0.4315,-0.6276,9.7674
7716,0.3923,-0.6276,9.7674
7736,0.3923,-0.5884,9.8067
