t_ms,ax_mps2,ay_mps2,az_mps2
3356,-0.0785,-0.5492,9.4928
3376,0.0000,-0.3923,10.2381
3396,0.0785,-0.4315,9.2183
3416,0.0000,-0.3530,9.5321
3436,0.0785,-0.5884,10.2381
3456,0.0785,-0.7061,9.7674
3476,0.2354,-0.4315,10.0420
3496,-0.1569,-0.5492,9.4928
3516,0.1569,-0.6276,9.7674
3536,0.1177,-0.7061,9.5713
3556,-0.2354,-0.7453,9.2967
3576,0.0392,-0.4707,10.4343
3596,-0.0785,-0.6276,9.2183
3616,-0.0785,-0.6276,10.0420
3636,0.2354,-0.8630,10.7089
3656,-0.0392,-0.4315,8.8260
3676,-0.1569,-0.3530,9.6890
3696,0.2354,-0.5099,9.6105
3716,-0.0785,-0.4315,9.7282
3736,0.0785,-1.1376,10.0028
3756,-0.0785,-0.4707,9.2183
3776,0.1177,-0.4315,10.0028
3796,0.0392,-0.7061,9.0221
3816,-0.3138,-0.2354,10.5912
3836,0.5099,-0.7453,9.8459
3856,0.0785,-0.5492,8.9829
3876,-0.1177,-0.3138,10.4343
3896,0.1569,-0.7453,9.2967
3916,-0.1177,-0.3923,9.8851
3936,0.1177,-0.9414,9.6890
3956,0.1177,-0.7453,8.9044
3976,0.1569,-0.5492,10.2381
3996,0.0785,-0.7845,9.4928
4016,-0.0785,-0.5099,9.9243
4036,0.3530,-0.6276,9.9636
4056,-0.1569,-0.1569,9.1006
4076,0.1569,-0.5492,9.9243
4096,0.0785,-0.6276,9.9243
4116,-0.0392,-0.2746,9.5321
4136,0.3530,-0.5492,10.1597
4156,0.0392,-0.6669,9.2967
4176,-0.0785,-0.2354,9.8459
4196,0.2354,-0.9807,10.1597
4216,-0.0392,-0.5099,9.2575
4236,0.0000,-0.3923,10.5127
4256,0.0785,-0.6276,9.3359
4276,0.0392,-0.3923,9.4928
4296,0.0392,-0.6276,10.2774
4316,0.1177,-0.5884,9.3752
4336,0.1177,-0.4707,10.2381
4356,-0.0392,-0.5492,9.5713
4376,0.1177,-0.3530,9.2575
4396,0.2354,-0.5884,10.2381
4416,-0.1177,-0.5492,9.4928
4436,0.1569,-0.5099,10.2774
4456,0.0392,-0.5492,9.8067
4476,0.1177,-0.3530,9.3752
4496,0.2746,-0.5099,10.3950
4516,-0.1961,-0.7453,9.9636
4536,0.0392,-0.6276,9.8459
4556,0.1569,-0.7061,10.4343
4576,-0.1569,-0.3530,8.9044
4596,0.3138,-0.5099,10.1597
4616,0.0785,-0.4707,9.8067
4636,-0.0785,-0.5492,9.6497
4656,0.2354,-0.7845,10.0028
4676,-0.1177,-0.4315,9.2575
4696,0.0392,-0.3923,10.0028
4716,0.0392,-0.5099,9.5321
4736,0.2354,-0.1961,9.8851
4756,0.1177,-0.9022,9.8851
4776,-0.3138,-0.7061,9.2575
4796,0.1961,-0.4707,11.0227
4816,0.2354,-0.5884,8.9044
4836,-0.0785,-0.3923,9.8851
4856,0.2354,-0.5492,10.3166
4876,-0.0392,-0.4315,9.2575
4896,0.0785,-0.7453,10.6696
4916,0.2354,-0.5884,9.8851
4936,-0.0785,-0.2746,9.0221
4956,0.0000,-0.7061,10.2774
4976,-0.0785,-0.4707,9.4144
4996,0.0785,-0.4707,9.6497
5016,0.0392,-1.0591,10.0420
5036,-0.0392,-0.3530,9.2575
5056,0.2354,-0.4315,10.3950
5076,0.0392,-0.5884,9.1006
5096,0.1961,-0.2354,9.6105
5116,0.0392,-0.7845,10.2381
5136,-0.1569,-0.4315,9.4144
5156,0.3530,-0.4315,10.2774
5176,-0.1569,-0.9022,9.4928
5196,0.1569,-0.2354,9.3752
5216,0.1177,-0.6669,10.5127
