t_ms,ax_mps2,ay_mps2,az_mps2
10296,0.2746,-0.7845,9.9636
10316,0.2746,-0.7061,9.8459
10336,0.2354,-0.8238,9.8067
10356,0.3138,-0.6669,9.8459
10376,0.3138,-0.6669,9.8851
10396,0.2354,-0.7845,9.8459
10416,0.3138,-0.7061,10.0028
10436,0.2746,-0.9022,9.9636
10456,0.2746,-0.7061,9.6890
10476,0.2746,-0.7845,9.8851
10496,0.3530,-0.7845,9.9243
10516,0.2354,-0.6669,9.8851
10536,0.3138,-0.8238,9.9243
10556,0.2746,-0.7845,9.9243
10576,0.3530,-0.7061,9.8067
10596,0.2746,-0.7845,9.8067
10616,0.3138,-0.6669,9.7282
10636,0.3530,-0.7453,9.7674
10656,0.3138,-0.7453,9.8851
10676,0.3138,-0.7845,9.7674
10696,0.2746,-0.8630,9.8459
10716,0.3530,-0.6669,9.8067
10736,0.2746,-0.8238,9.8067
10756,0.2746,-0.6669,9.8067
10776,0.2746,-0.8238,9.8851
10796,0.2746,-0.7453,9.8459
10816,0.3530,-0.6276,9.8067
10836,0.2746,-0.7845,9.8851
10856,0.1961,-0.7453,9.8459
10876,0.2746,-0.7061,9.8459
10896,0.3138,-0.7845,9.9243
10916,0.1961,-0.7845,9.9243
10936,0.3138,-0.8238,9.9243
10956,0.2746,-0.7845,9.8459
10976,0.2354,-0.6276,9.8067
10996,0.2354,-0.8238,9.9636
11016,0.1961,-0.6669,9.8459
11036,0.3138,-0.6669,9.8851
11056,0.3138,-0.9414,9.7674
11076,0.1569,-0.7061,9.7674
11096,0.2746,-0.8238,10.0028
11116,0.2354,-0.7845,9.8851
11136,0.2354,-0.7453,9.8851
11156,0.1961,-0.9022,9.8067
11176,0.2746,-0.7061,9.8851
11196,0.3138,-0.7061,9.8067
11216,0.1961,-0.7453,9.9243
11236,0.3530,-0.7061,10.0028
11256,0.3138,-0.8630,9.9243
11276,0.2746,-0.7453,9.8067
11296,0.2354,-0.7845,9.8459
11316,0.3530,-0.7845,9.9243
11336,0.2354,-0.7061,9.8067
11356,0.2746,-0.8630,9.9636
11376,0.2746,-0.7845,9.8067
11396,0.2746,-0.7061,9.8459
11416,0.2746,-0.8630,9.9243
11436,0.2746,-0.8238,9.8851
11456,0.2354,-0.7845,9.8851
11476,0.2746,-0.8630,9.8459
11496,0.3138,-0.7061,9.9636
11516,0.3138,-0.8630,9.8851
11536,0.2354,-0.7453,9.7674
11556,0.2746,-0.7453,9.9243
11576,0.2746,-0.8630,9.8851
11596,0.2354,-0.7845,9.8851
11616,0.3138,-0.8238,9.9243
11636,0.2354,-0.7845,9.8851
11656,0.2746,-0.7061,9.9243
11676,0.1961,-0.8238,9.8459
11696,0.2746,-0.7061,9.9636
11716,0.2354,-0.6669,9.8067
11736,0.2746,-0.8630,9.8459
11756,0.2354,-0.6669,9.8067
11776,0.2746,-0.9022,9.9243
11796,0.1961,-0.7845,9.8067
11816,0.3138,-0.7061,9.9243
11836,0.2354,-0.8630,9.8459
11856,0.3138,-0.7845,9.8851
