t_ms,ax_mps2,ay_mps2,az_mps2
4376,0.3530,-0.4315,9.6890
4396,0.3138,-0.6669,9.9636
4416,0.3530,-0.7061,9.5713
4436,0.3923,-0.5492,10.0028
4456,0.3530,-0.7453,9.9636
4476,0.3530,-0.5884,9.6105
4496,0.3530,-0.7845,10.2381
4516,0.3530,-0.6669,9.5713
4536,0.3138,-0.4315,9.8459
4556,0.3923,-0.8630,9.8851
4576,0.2746,-0.5884,9.5321
4596,0.3530,-0.6669,10.0812
4616,0.3530,-0.7845,9.6105
4636,0.2354,-0.6669,9.9636
4656,0.3923,-0.7845,9.9243
4676,0.2746,-0.5884,9.5713
4696,0.3923,-0.5884,10.0420
4716,0.3923,-0.8630,9.6890
4736,0.3530,-0.6276,9.6105
4756,0.3530,-0.6669,10.0028
4776,0.3138,-0.7061,9.4144
4796,0.3138,-0.5492,10.0420
4816,0.3923,-0.7061,9.8459
4836,0.3923,-0.5099,9.6890
4856,0.3530,-0.7453,10.1205
4876,0.3530,-0.7453,9.5321
4896,0.3923,-0.5492,9.8067
4916,0.3138,-0.7453,10.0028
4936,0.4315,-0.5492,9.5713
4956,0.3138,-0.5492,10.0420
4976,0.3923,-0.7453,9.6890
4996,0.3530,-0.7061,9.7282
5016,0.3138,-0.8238,10.0812
5036,0.2746,-0.5492,9.7282
5056,0.2746,-0.4707,9.9243
5076,0.3530,-0.8630,9.8459
5096,0.3923,-0.5492,9.6105
5116,0.3138,-0.6276,10.0420
5136,0.3923,-0.8238,9.6497
5156,0.2746,-0.6669,9.8459
5176,0.3530,-0.7845,9.9243
5196,0.2746,-0.5884,9.5321
5216,0.3138,-0.6276,10.1205
5236,0.3923,-0.9022,9.5713
5256,0.2746,-0.5884,9.7282
5276,0.3923,-0.6669,10.0028
5296,0.2746,-0.7453,9.5713
5316,0.2746,-0.5492,10.0028
5336,0.3530,-0.8238,9.6890
5356,0.3923,-0.6276,9.7674
5376,0.4707,-0.7845,10.1205
5396,0.3530,-0.7453,9.4144
5416,0.3138,-0.4315,10.0028
5436,0.3138,-0.7845,9.7674
5456,0.3138,-0.5884,9.6105
5476,0.3530,-0.6276,10.1989
5496,0.3138,-0.7453,9.6105
5516,0.4315,-0.6276,9.7674
5536,0.2746,-0.8630,10.0028
5556,0.3923,-0.7061,9.5713
5576,0.2746,-0.5884,10.0812
5596,0.4707,-0.7453,9.8067
5616,0.3138,-0.7061,9.6497
5636,0.3138,-0.7845,10.1597
5656,0.3923,-0.6669,9.5321
5676,0.2746,-0.6276,10.0420
5696,0.3923,-0.8238,9.9636
5716,0.3138,-0.5492,9.5713
5736,0.2746,-0.7061,10.1597
5756,0.3530,-0.7845,9.5321
5776,0.2746,-0.5099,10.1597
5796,0.3530,-0.7453,9.5321
5816,0.2746,-0.7453,9.7282
5836,0.3138,-0.5099,10.1597
5856,0.3530,-0.7453,9.5321
5876,0.2746,-0.5884,10.0812
5896,0.3530,-0.7453,9.6497
