t_ms,ax_mps2,ay_mps2,az_mps2
3416,0.7061,-0.4707,9.8459
3436,0.6276,-0.5099,9.7282
3456,0.7061,-0.5099,9.8067
3476,0.6669,-0.5099,9.8067
3496,0.6276,-0.4707,9.8459
3516,0.6276,-0.4707,9.8459
3536,0.6669,-0.5099,9.8067
3556,0.6669,-0.5492,9.8459
3576,0.5884,-0.5099,9.8067
3596,0.6276,-0.5099,9.8459
3616,0.6669,-0.4707,9.7674
3636,0.6669,-0.4315,9.7674
3656,0.6669,-0.5099,9.7674
3676,0.6669,-0.4315,9.8067
3696,0.6669,-0.5099,9.8459
3716,0.6276,-0.5492,9.8459
3736,0.6276,-0.4707,9.6890
3756,0.6669,-0.4315,9.8459
3776,0.7061,-0.6669,9.8851
3796,0.6669,-0.6669,9.7674
3816,0.5884,-0.4315,9.8459
3836,0.6276,-0.4315,9.8067
3856,0.6669,-0.4707,9.7282
3876,0.5099,-0.3923,9.8459
3896,0.5884,-0.5099,9.8459
3916,0.6669,-0.7061,9.9243
3936,0.6276,-0.5884,9.9243
3956,0.7061,-0.5099,9.8067
3976,0.7453,-0.4707,9.7282
3996,0.7061,-0.3530,9.6105
4016,0.7061,-0.4707,9.7282
4036,0.7061,-0.5492,9.8067
4056,0.6276,-0.5492,9.7674
4076,0.5884,-0.5492,9.8067
4096,0.5884,-0.5099,9.7674
4116,0.6276,-0.6276,9.8067
4136,0.6276,-0.5099,9.8851
4156,0.5884,-0.4707,9.8067
4176,0.6669,-0.5099,9.7674
4196,0.6669,-0.5099,9.8067
4216,0.6276,-0.5099,9.8067
4236,0.7061,-0.5492,9.7674
4256,0.6669,-0.5492,9.7674
4276,0.6276,-0.5099,9.8067
4296,0.6276,-0.5492,9.8067
4316,0.6669,-0.5099,9.8067
4336,0.6669,-0.5099,9.8459
4356,0.6276,-0.5492,9.7674
4376,0.6276,-0.5099,9.8459
4396,0.6669,-0.5099,9.7674
4416,0.6669,-0.5492,9.8459
4436,0.6276,-0.5099,9.7674
4456,0.6276,-0.5492,9.8067
4476,0.6669,-0.5099,9.8067
4496,0.6669,-0.5099,9.8067
4516,0.6276,-0.5099,9.7674
4536,0.7061,-0.5492,9.7674
4556,0.6669,-0.5492,9.7674
4576,0.6669,-0.5099,9.8067
4596,0.6669,-0.5099,9.8067
4616,0.6669,-0.5099,9.8459
4636,0.6669,-0.5492,9.8067
4656,0.6276,-0.5099,9.8067
4676,0.6276,-0.5099,9.7674
4696,0.6276,-0.5099,9.8067
4716,0.6669,-0.5099,9.8067
4736,0.6276,-0.5099,9.7674
4756,0.6276,-0.5099,9.8459
4776,0.6276,-0.5492,9.8067
4796,0.6276,-0.5099,9.7674
4816,0.6669,-0.4707,9.8459
4836,0.6276,-0.4707,9.8851
4856,0.6669,-0.5099,9.8067
4876,0.6669,-0.5099,9.8067
4896,0.6669,-0.5492,9.7674
4916,0.6669,-0.5492,9.7674
4936,0.6669,-0.5099,9.8459
4956,0.6669,-0.5099,9.7674
4976,0.6669,-0.5099,9.8459
4996,0.6276,-0.5099,9.7674
5016,0.6276,-0.5099,9.8459
5036,0.6276,-0.5099,9.8459
5056,0.6669,-0.5099,9.8067
5076,0.6276,-0.5099,9.8067
5096,0.6669,-0.5492,9.8067
5116,0.6669,-0.5099,9.8459
5136,0.6276,-0.5099,9.7674
5156,0.6276,-0.4707,9.8067
5176,0.6669,-0.5099,9.8067
5196,0.6669,-0.4707,9.7674
5216,0.6669,-0.5099,9.8067
5236,0.6276,-0.5099,9.8067
5256,0.6669,-0.5099,9.8067
5276,0.6276,-0.4707,9.8067
5296,0.6276,-0.5099,9.8067
5316,0.6276,-0.5099,9.7674
5336,0.6669,-0.5492,9.7674
5356,0.7061,-0.5492,9.8067
5376,0.6669,-0.5099,9.7674
5396,0.6669,-0.5099,9.8067
5416,0.6276,-0.4707,9.8067
5436,0.6276,-0.5099,9.8067
5456,0.6669,-0.5099,9.7674
5476,0.5884,-0.5099,9.8067
5496,0.6276,-0.5099,9.8067
5516,0.6669,-0.5492,9.7674
5536,0.6276,-0.4707,9.7674
5556,0.6669,-0.5099,9.8067
5576,0.6276,-0.4707,9.7674
5596,0.6669,-0.5099,9.7674
5616,0.6276,-0.5099,9.8067
5636,0.7061,-0.5099,9.7282
5656,0.6276,-0.5099,9.8459
5676,0.6276,-0.5099,9.8067
5696,0.6276,-0.5099,9.7674
5716,0.6669,-0.5492,9.8067
5736,0.6276,-0.4707,9.8067
5756,0.6669,-0.5099,9.7674
5776,0.6669,-0.5099,9.8067
5796,0.6669,-0.5492,9.7674
5816,0.6669,-0.5099,9.7674
5836,0.6669,-0.5492,9.8067
5856,0.6276,-0.5099,9.8459
5876,0.6276,-0.5099,9.8067
5896,0.6669,-0.5099,9.8067
5916,0.6669,-0.4707,9.8067
5936,0.6669,-0.5492,9.8067
5956,0.6276,-0.5099,9.8067
5976,0.6669,-0.5492,9.8459
5996,0.6276,-0.5099,9.7674
6016,0.6276,-0.5492,9.8459
6036,0.6276,-0.5099,9.8067
6056,0.6669,-0.5099,9.7674
6076,0.6669,-0.4707,9.7674
6096,0.6276,-0.5099,9.7674
6116,0.6669,-0.5492,9.8067
6136,0.6669,-0.5099,9.8459
6156,0.6276,-0.5492,9.8459
6176,0.6669,-0.5099,9.8067
6196,0.6669,-0.5099,9.8067
6216,0.5884,-0.4707,9.8067
6236,0.7061,-0.5099,9.8067
6256,0.6669,-0.5099,9.8067
6276,0.6669,-0.5099,9.7674
6296,0.6276,-0.5099,9.8067
6316,0.6669,-0.5099,9.8459
6336,0.6276,-0.5099,9.8067
6356,0.6669,-0.5099,9.7674
6376,0.6276,-0.4707,9.7674
6396,0.6276,-0.5099,9.8067
6416,0.6669,-0.5099,9.8067
6436,0.6276,-0.5099,9.8067
6456,0.6669,-0.5492,9.8067
6476,0.6276,-0.4707,9.7674
6496,0.7061,-0.5492,9.7674
6516,0.6669,-0.5099,9.7674
6536,0.6669,-0.5099,9.7674
6556,0.6276,-0.5099,9.8067
6576,0.6276,-0.4707,9.8067
6596,0.6669,-0.5099,9.7674
6616,0.6669,-0.5099,9.7674
6636,0.6276,-0.4707,9.8067
6656,0.6669,-0.5099,9.7674
6676,0.6276,-0.5099,9.8459
6696,0.6669,-0.5099,9.8459
6716,0.6669,-0.4707,9.8459
6736,0.6276,-0.4707,9.7674
6756,0.6669,-0.5099,9.7674
6776,0.6669,-0.5099,9.8067
6796,0.6276,-0.4707,9.7674
6816,0.6276,-0.5099,9.8067
6836,0.6669,-0.5492,9.7674
6856,0.5884,-0.5099,9.7282
6876,0.6276,-0.4707,9.8459
6896,0.7061,-0.5099,9.7674
6916,0.6276,-0.5099,9.7674
6936,0.7061,-0.5492,9.8067
6956,0.6276,-0.5099,9.8459
6976,0.6276,-0.5492,9.8067
6996,0.6669,-0.5492,9.8459
7016,0.6669,-0.5099,9.7674
7036,0.6276,-0.5099,9.8459
7056,0.6276,-0.5492,9.8067
7076,0.6276,-0.5099,9.8067
7096,0.6669,-0.5099,9.7674
7116,0.6276,-0.5099,9.8459
7136,0.6669,-0.5492,9.7674
7156,0.6669,-0.5099,9.7674
7176,0.6276,-0.5099,9.8067
7196,0.6669,-0.5099,9.8459
7216,0.6669,-0.5492,9.7282
7236,0.6669,-0.5492,9.8851
7256,0.6276,-0.4315,9.7674
7276,0.5884,-0.4707,9.7674
7296,0.5884,-0.5099,9.8067
7316,0.6276,-0.5099,9.8067
7336,0.6669,-0.5492,9.8067
7356,0.6669,-0.5492,9.8067
7376,0.6669,-0.5492,9.8067
7396,0.6669,-0.5099,9.7674
7416,0.6669,-0.5492,9.8067
7436,0.5884,-0.5099,9.8067
7456,0.6669,-0.5492,9.7674
7476,0.6669,-0.5099,9.8067
7496,0.7061,-0.5099,9.8459
7516,0.6669,-0.5492,9.8459
7536,0.7061,-0.5099,9.8459
7556,0.6669,-0.5492,9.8459
7576,0.6669,-0.5099,9.8067
7596,0.6276,-0.5492,9.8067
7616,0.6669,-0.5099,9.7674
7636,0.6276,-0.5099,9.8067
7656,0.6276,-0.5492,9.8067
7676,0.6276,-0.4707,9.7674
7696,0.6669,-0.4315,9.7674
7716,0.6276,-0.4707,9.8067
7736,0.6669,-0.4707,9.8067
7756,0.7061,-0.5099,9.7674
7776,0.6276,-0.5492,9.8067
7796,0.6276,-0.5492,9.7674
7816,0.6669,-0.5492,9.8067
7836,0.6276,-0.5884,9.7674
7856,0.6669,-0.5492,9.8067
7876,0.6276,-0.5099,9.8067
7896,0.6276,-0.5099,9.8459
7916,0.6669,-0.5492,9.7674
7936,0.6276,-0.5492,9.8459
7956,0.6669,-0.5492,9.8067
7976,0.6276,-0.5099,9.7674
7996,0.7061,-0.5492,9.8067
8016,0.6276,-0.5099,9.8067
8036,0.6276,-0.5099,9.8067
8056,0.6669,-0.5099,9.8067
8076,0.6669,-0.5099,9.8459
8096,0.6669,-0.5099,9.8067
8116,0.6669,-0.5492,9.8067
8136,0.6669,-0.5099,9.7674
8156,0.6669,-0.5492,9.8067
8176,0.6276,-0.4707,9.8459
8196,0.5884,-0.5492,9.8067
8216,0.6669,-0.5492,9.8067
8236,0.6276,-0.5492,9.8067
8256,0.6669,-0.5492,9.8459
8276,0.6669,-0.5099,9.8067
8296,0.6669,-0.5099,9.7282
8316,0.6669,-0.4707,9.7674
8336,0.6276,-0.4707,9.7674
8356,0.6276,-0.5099,9.8067
8376,0.6669,-0.5492,9.8067
8396,0.6669,-0.5099,9.7674
8416,0.6669,-0.4707,9.8067
8436,0.6669,-0.5099,9.8067
8456,0.6669,-0.5099,9.8459
8476,0.6669,-0.5099,9.8067
8496,0.6669,-0.5492,9.8459
8516,0.6276,-0.5492,9.8067
8536,0.6669,-0.5099,9.8067
8556,0.6276,-0.5099,9.7674
8576,0.6669,-0.5492,9.8067
8596,0.6669,-0.5099,9.7674
8616,0.6669,-0.5492,9.8459
8636,0.6276,-0.5492,9.8067
8656,0.6669,-0.5099,9.8067
8676,0.7061,-0.5492,9.7674
8696,0.6276,-0.5099,9.8067
8716,0.6276,-0.5099,9.8067
8736,0.6276,-0.5099,9.8067
8756,0.6276,-0.5099,9.7674
8776,0.6276,-0.5099,9.8067
8796,0.6669,-0.5099,9.7674
8816,0.6669,-0.5492,9.8067
8836,0.6669,-0.5099,9.8067
8856,0.7061,-0.5099,9.7674
8876,0.6669,-0.5492,9.8851
8896,0.6276,-0.5492,9.8067
8916,0.6669,-0.5492,9.7674
8936,0.6276,-0.5492,9.8067
8956,0.6669,-0.5099,9.7674
8976,0.6669,-0.5884,9.7674
8996,0.6276,-0.5099,9.7674
9016,0.6669,-0.5492,9.8459
9036,0.6669,-0.5099,9.7674
9056,0.6276,-0.5099,9.8067
9076,0.6276,-0.5492,9.8067
9096,0.6669,-0.4707,9.7674
9116,0.6276,-0.5099,9.7674
9136,0.6669,-0.5099,9.8067
